o_bor,d_bor,occ_type,count,is_prof
Croydon,Richmond upon Thames,4_administrative,81,FALSE
Croydon,Richmond upon Thames,5_trade,42,FALSE
Croydon,Richmond upon Thames,6_caring_leisure,43,FALSE
Croydon,Richmond upon Thames,7_sales_customer,64,FALSE
Croydon,Richmond upon Thames,8_machine_operatives,21,FALSE
Croydon,Richmond upon Thames,9_elementary,35,FALSE
Croydon,Southwark,1_managers_senior,669,TRUE
Croydon,Southwark,2_professional,1550,TRUE
Croydon,Southwark,3_associate_professional,937,TRUE
Croydon,Southwark,4_administrative,864,FALSE
Croydon,Southwark,5_trade,261,FALSE
Croydon,Southwark,6_caring_leisure,337,FALSE
Croydon,Southwark,7_sales_customer,275,FALSE
Croydon,Southwark,8_machine_operatives,181,FALSE
Croydon,Southwark,9_elementary,313,FALSE
Croydon,Sutton,1_managers_senior,640,TRUE
Croydon,Sutton,2_professional,1171,TRUE
Croydon,Sutton,3_associate_professional,700,TRUE
Croydon,Sutton,4_administrative,877,FALSE
Croydon,Sutton,5_trade,501,FALSE
Croydon,Sutton,6_caring_leisure,624,FALSE
Croydon,Sutton,7_sales_customer,681,FALSE
Croydon,Sutton,8_machine_operatives,826,FALSE
Croydon,Sutton,9_elementary,786,FALSE
Croydon,Tower Hamlets,1_managers_senior,501,TRUE
Croydon,Tower Hamlets,2_professional,1008,TRUE
Croydon,Tower Hamlets,3_associate_professional,676,TRUE
Croydon,Tower Hamlets,4_administrative,447,FALSE
Croydon,Tower Hamlets,5_trade,149,FALSE
Croydon,Tower Hamlets,6_caring_leisure,64,FALSE
Croydon,Tower Hamlets,7_sales_customer,109,FALSE
Croydon,Tower Hamlets,8_machine_operatives,48,FALSE
Croydon,Tower Hamlets,9_elementary,107,FALSE
Croydon,Waltham Forest,1_managers_senior,21,TRUE
Croydon,Waltham Forest,2_professional,32,TRUE
Croydon,Waltham Forest,3_associate_professional,26,TRUE
Croydon,Waltham Forest,4_administrative,7,FALSE
Croydon,Waltham Forest,5_trade,19,FALSE
Croydon,Waltham Forest,6_caring_leisure,12,FALSE
Croydon,Waltham Forest,7_sales_customer,21,FALSE
Croydon,Waltham Forest,8_machine_operatives,22,FALSE
Croydon,Waltham Forest,9_elementary,37,FALSE
Croydon,Wandsworth,1_managers_senior,622,TRUE
Croydon,Wandsworth,2_professional,1184,TRUE
Croydon,Wandsworth,3_associate_professional,663,TRUE
Croydon,Wandsworth,4_administrative,725,FALSE
Croydon,Wandsworth,5_trade,359,FALSE
Croydon,Wandsworth,6_caring_leisure,619,FALSE
Croydon,Wandsworth,7_sales_customer,508,FALSE
Croydon,Wandsworth,8_machine_operatives,316,FALSE
Croydon,Wandsworth,9_elementary,495,FALSE
Croydon,Westminster,1_managers_senior,1288,TRUE
Croydon,Westminster,2_professional,2245,TRUE
Croydon,Westminster,3_associate_professional,2006,TRUE
Croydon,Westminster,4_administrative,3043,FALSE
Croydon,Westminster,5_trade,481,FALSE
Croydon,Westminster,6_caring_leisure,443,FALSE
Croydon,Westminster,7_sales_customer,718,FALSE
Croydon,Westminster,8_machine_operatives,202,FALSE
Croydon,Westminster,9_elementary,683,FALSE
Ealing,Barking and Dagenham,1_managers_senior,8,TRUE
Ealing,Barking and Dagenham,2_professional,14,TRUE
Ealing,Barking and Dagenham,3_associate_professional,7,TRUE
Ealing,Barking and Dagenham,4_administrative,2,FALSE
Ealing,Barking and Dagenham,5_trade,6,FALSE
Ealing,Barking and Dagenham,6_caring_leisure,1,FALSE
Ealing,Barking and Dagenham,7_sales_customer,0,FALSE
Ealing,Barking and Dagenham,8_machine_operatives,8,FALSE
Ealing,Barking and Dagenham,9_elementary,7,FALSE
Ealing,Barnet,1_managers_senior,155,TRUE
Ealing,Barnet,2_professional,282,TRUE
Ealing,Barnet,3_associate_professional,135,TRUE
Ealing,Barnet,4_administrative,136,FALSE
Ealing,Barnet,5_trade,112,FALSE
Ealing,Barnet,6_caring_leisure,70,FALSE
Ealing,Barnet,7_sales_customer,173,FALSE
Ealing,Barnet,8_machine_operatives,84,FALSE
Ealing,Barnet,9_elementary,121,FALSE
Ealing,Bexley,1_managers_senior,2,TRUE
Ealing,Bexley,2_professional,9,TRUE
Ealing,Bexley,3_associate_professional,5,TRUE
Ealing,Bexley,4_administrative,1,FALSE
Ealing,Bexley,5_trade,10,FALSE
Ealing,Bexley,6_caring_leisure,0,FALSE
Ealing,Bexley,7_sales_customer,1,FALSE
Ealing,Bexley,8_machine_operatives,3,FALSE
Ealing,Bexley,9_elementary,6,FALSE
Ealing,Brent,1_managers_senior,622,TRUE
Ealing,Brent,2_professional,1131,TRUE
Ealing,Brent,3_associate_professional,650,TRUE
Ealing,Brent,4_administrative,797,FALSE
Ealing,Brent,5_trade,481,FALSE
Ealing,Brent,6_caring_leisure,417,FALSE
Ealing,Brent,7_sales_customer,542,FALSE
Ealing,Brent,8_machine_operatives,761,FALSE
Ealing,Brent,9_elementary,837,FALSE
Ealing,Bromley,1_managers_senior,9,TRUE
Ealing,Bromley,2_professional,13,TRUE
Ealing,Bromley,3_associate_professional,16,TRUE
Ealing,Bromley,4_administrative,7,FALSE
Ealing,Bromley,5_trade,11,FALSE
Ealing,Bromley,6_caring_leisure,6,FALSE
Ealing,Bromley,7_sales_customer,6,FALSE
Ealing,Bromley,8_machine_operatives,3,FALSE
Ealing,Bromley,9_elementary,7,FALSE
Ealing,Camden,1_managers_senior,668,TRUE
Ealing,Camden,2_professional,1678,TRUE
Ealing,Camden,3_associate_professional,966,TRUE
Ealing,Camden,4_administrative,656,FALSE
Ealing,Camden,5_trade,197,FALSE
Ealing,Camden,6_caring_leisure,184,FALSE
Ealing,Camden,7_sales_customer,248,FALSE
Ealing,Camden,8_machine_operatives,112,FALSE
Ealing,Camden,9_elementary,247,FALSE
Ealing,City of London,1_managers_senior,807,TRUE
Ealing,City of London,2_professional,1802,TRUE
Ealing,City of London,3_associate_professional,1192,TRUE
Ealing,City of London,4_administrative,651,FALSE
Ealing,City of London,5_trade,169,FALSE
Ealing,City of London,6_caring_leisure,65,FALSE
Ealing,City of London,7_sales_customer,153,FALSE
Ealing,City of London,8_machine_operatives,35,FALSE
Ealing,City of London,9_elementary,224,FALSE
Ealing,Croydon,1_managers_senior,20,TRUE
Ealing,Croydon,2_professional,52,TRUE
Ealing,Croydon,3_associate_professional,28,TRUE
Ealing,Croydon,4_administrative,18,FALSE
Ealing,Croydon,5_trade,13,FALSE
Ealing,Croydon,6_caring_leisure,7,FALSE
Ealing,Croydon,7_sales_customer,8,FALSE
Ealing,Croydon,8_machine_operatives,6,FALSE
Ealing,Croydon,9_elementary,12,FALSE
Ealing,Ealing,1_managers_senior,3099,TRUE
Ealing,Ealing,2_professional,6049,TRUE
Ealing,Ealing,3_associate_professional,3024,TRUE
Ealing,Ealing,4_administrative,4570,FALSE
Ealing,Ealing,5_trade,2111,FALSE
Ealing,Ealing,6_caring_leisure,4148,FALSE
Ealing,Ealing,7_sales_customer,3442,FALSE
Ealing,Ealing,8_machine_operatives,2605,FALSE
Ealing,Ealing,9_elementary,5254,FALSE
Ealing,Enfield,1_managers_senior,50,TRUE
Ealing,Enfield,2_professional,70,TRUE
Ealing,Enfield,3_associate_professional,20,TRUE
Ealing,Enfield,4_administrative,24,FALSE
Ealing,Enfield,5_trade,52,FALSE
Ealing,Enfield,6_caring_leisure,16,FALSE
Ealing,Enfield,7_sales_customer,29,FALSE
Ealing,Enfield,8_machine_operatives,17,FALSE
Ealing,Enfield,9_elementary,52,FALSE
Ealing,Greenwich,1_managers_senior,23,TRUE
Ealing,Greenwich,2_professional,53,TRUE
Ealing,Greenwich,3_associate_professional,33,TRUE
Ealing,Greenwich,4_administrative,12,FALSE
Ealing,Greenwich,5_trade,13,FALSE
Ealing,Greenwich,6_caring_leisure,12,FALSE
Ealing,Greenwich,7_sales_customer,16,FALSE
Ealing,Greenwich,8_machine_operatives,22,FALSE
Ealing,Greenwich,9_elementary,16,FALSE
Ealing,Hackney,1_managers_senior,120,TRUE
Ealing,Hackney,2_professional,215,TRUE
Ealing,Hackney,3_associate_professional,170,TRUE
Ealing,Hackney,4_administrative,61,FALSE
Ealing,Hackney,5_trade,40,FALSE
Ealing,Hackney,6_caring_leisure,24,FALSE
Ealing,Hackney,7_sales_customer,45,FALSE
Ealing,Hackney,8_machine_operatives,29,FALSE
Ealing,Hackney,9_elementary,36,FALSE
Ealing,Hammersmith and Fulham,1_managers_senior,1049,TRUE
Ealing,Hammersmith and Fulham,2_professional,2568,TRUE
Ealing,Hammersmith and Fulham,3_associate_professional,1622,TRUE
Ealing,Hammersmith and Fulham,4_administrative,1268,FALSE
Ealing,Hammersmith and Fulham,5_trade,411,FALSE
Ealing,Hammersmith and Fulham,6_caring_leisure,535,FALSE
Ealing,Hammersmith and Fulham,7_sales_customer,894,FALSE
Ealing,Hammersmith and Fulham,8_machine_operatives,297,FALSE
Ealing,Hammersmith and Fulham,9_elementary,716,FALSE
Ealing,Haringey,1_managers_senior,49,TRUE
Ealing,Haringey,2_professional,57,TRUE
Ealing,Haringey,3_associate_professional,36,TRUE
Ealing,Haringey,4_administrative,18,FALSE
Ealing,Haringey,5_trade,30,FALSE
Ealing,Haringey,6_caring_leisure,26,FALSE
Ealing,Haringey,7_sales_customer,30,FALSE
Ealing,Haringey,8_machine_operatives,17,FALSE
Ealing,Haringey,9_elementary,33,FALSE
Ealing,Harrow,1_managers_senior,253,TRUE
Ealing,Harrow,2_professional,486,TRUE
Ealing,Harrow,3_associate_professional,232,TRUE
Ealing,Harrow,4_administrative,354,FALSE
Ealing,Harrow,5_trade,166,FALSE
Ealing,Harrow,6_caring_leisure,302,FALSE
Ealing,Harrow,7_sales_customer,307,FALSE
Ealing,Harrow,8_machine_operatives,189,FALSE
Ealing,Harrow,9_elementary,234,FALSE
Ealing,Havering,1_managers_senior,0,TRUE
Ealing,Havering,2_professional,24,TRUE
Ealing,Havering,3_associate_professional,4,TRUE
Ealing,Havering,4_administrative,1,FALSE
Ealing,Havering,5_trade,11,FALSE
Ealing,Havering,6_caring_leisure,7,FALSE
Ealing,Havering,7_sales_customer,4,FALSE
Ealing,Havering,8_machine_operatives,3,FALSE
Ealing,Havering,9_elementary,3,FALSE
Ealing,Hillingdon,1_managers_senior,857,TRUE
Ealing,Hillingdon,2_professional,1758,TRUE
Ealing,Hillingdon,3_associate_professional,1253,TRUE
Ealing,Hillingdon,4_administrative,1246,FALSE
Ealing,Hillingdon,5_trade,690,FALSE
Ealing,Hillingdon,6_caring_leisure,1056,FALSE
Ealing,Hillingdon,7_sales_customer,1437,FALSE
Ealing,Hillingdon,8_machine_operatives,1131,FALSE
Ealing,Hillingdon,9_elementary,2222,FALSE
Ealing,Hounslow,1_managers_senior,1070,TRUE
Ealing,Hounslow,2_professional,1934,TRUE
Ealing,Hounslow,3_associate_professional,1509,TRUE
Ealing,Hounslow,4_administrative,1348,FALSE
Ealing,Hounslow,5_trade,568,FALSE
Ealing,Hounslow,6_caring_leisure,739,FALSE
Ealing,Hounslow,7_sales_customer,1120,FALSE
Ealing,Hounslow,8_machine_operatives,804,FALSE
Ealing,Hounslow,9_elementary,1293,FALSE
Ealing,Islington,1_managers_senior,262,TRUE
Ealing,Islington,2_professional,655,TRUE
Ealing,Islington,3_associate_professional,418,TRUE
Ealing,Islington,4_administrative,298,FALSE
Ealing,Islington,5_trade,100,FALSE
Ealing,Islington,6_caring_leisure,106,FALSE
Ealing,Islington,7_sales_customer,119,FALSE
Ealing,Islington,8_machine_operatives,69,FALSE
Ealing,Islington,9_elementary,153,FALSE
Ealing,Kensington and Chelsea,1_managers_senior,651,TRUE
Ealing,Kensington and Chelsea,2_professional,1027,TRUE
Ealing,Kensington and Chelsea,3_associate_professional,614,TRUE
Ealing,Kensington and Chelsea,4_administrative,519,FALSE
Ealing,Kensington and Chelsea,5_trade,287,FALSE
Ealing,Kensington and Chelsea,6_caring_leisure,429,FALSE
Ealing,Kensington and Chelsea,7_sales_customer,622,FALSE
Ealing,Kensington and Chelsea,8_machine_operatives,145,FALSE
Ealing,Kensington and Chelsea,9_elementary,491,FALSE
Ealing,Kingston upon Thames,1_managers_senior,56,TRUE
Ealing,Kingston upon Thames,2_professional,134,TRUE
Ealing,Kingston upon Thames,3_associate_professional,52,TRUE
Ealing,Kingston upon Thames,4_administrative,27,FALSE
Ealing,Kingston upon Thames,5_trade,35,FALSE
Ealing,Kingston upon Thames,6_caring_leisure,30,FALSE
Ealing,Kingston upon Thames,7_sales_customer,95,FALSE
Ealing,Kingston upon Thames,8_machine_operatives,9,FALSE
Ealing,Kingston upon Thames,9_elementary,38,FALSE
Ealing,Lambeth,1_managers_senior,111,TRUE
Ealing,Lambeth,2_professional,370,TRUE
Ealing,Lambeth,3_associate_professional,247,TRUE
Ealing,Lambeth,4_administrative,119,FALSE
Ealing,Lambeth,5_trade,58,FALSE
Ealing,Lambeth,6_caring_leisure,51,FALSE
Ealing,Lambeth,7_sales_customer,64,FALSE
Ealing,Lambeth,8_machine_operatives,32,FALSE
Ealing,Lambeth,9_elementary,85,FALSE
Ealing,Lewisham,1_managers_senior,20,TRUE
Ealing,Lewisham,2_professional,51,TRUE
Ealing,Lewisham,3_associate_professional,15,TRUE
Ealing,Lewisham,4_administrative,7,FALSE
Ealing,Lewisham,5_trade,10,FALSE
Ealing,Lewisham,6_caring_leisure,7,FALSE
Ealing,Lewisham,7_sales_customer,10,FALSE
Ealing,Lewisham,8_machine_operatives,11,FALSE
Ealing,Lewisham,9_elementary,12,FALSE
Ealing,Merton,1_managers_senior,48,TRUE
Ealing,Merton,2_professional,93,TRUE
Ealing,Merton,3_associate_professional,55,TRUE
Ealing,Merton,4_administrative,43,FALSE
Ealing,Merton,5_trade,38,FALSE
Ealing,Merton,6_caring_leisure,32,FALSE
Ealing,Merton,7_sales_customer,44,FALSE
Ealing,Merton,8_machine_operatives,33,FALSE
Ealing,Merton,9_elementary,51,FALSE
Ealing,Newham,1_managers_senior,48,TRUE
Ealing,Newham,2_professional,86,TRUE
Ealing,Newham,3_associate_professional,40,TRUE
Ealing,Newham,4_administrative,38,FALSE
Ealing,Newham,5_trade,37,FALSE
Ealing,Newham,6_caring_leisure,14,FALSE
Ealing,Newham,7_sales_customer,46,FALSE
Ealing,Newham,8_machine_operatives,24,FALSE
Ealing,Newham,9_elementary,41,FALSE
Ealing,Redbridge,1_managers_senior,13,TRUE
Ealing,Redbridge,2_professional,16,TRUE
Ealing,Redbridge,3_associate_professional,9,TRUE
Ealing,Redbridge,4_administrative,10,FALSE
Ealing,Redbridge,5_trade,24,FALSE
Ealing,Redbridge,6_caring_leisure,6,FALSE
Ealing,Redbridge,7_sales_customer,3,FALSE
Ealing,Redbridge,8_machine_operatives,1,FALSE
Ealing,Redbridge,9_elementary,11,FALSE
Ealing,Richmond upon Thames,1_managers_senior,223,TRUE
Ealing,Richmond upon Thames,2_professional,400,TRUE
Ealing,Richmond upon Thames,3_associate_professional,263,TRUE
Ealing,Richmond upon Thames,4_administrative,215,FALSE
Ealing,Richmond upon Thames,5_trade,121,FALSE
Ealing,Richmond upon Thames,6_caring_leisure,191,FALSE
Ealing,Richmond upon Thames,7_sales_customer,281,FALSE
Ealing,Richmond upon Thames,8_machine_operatives,83,FALSE
Ealing,Richmond upon Thames,9_elementary,193,FALSE
Ealing,Southwark,1_managers_senior,225,TRUE
Ealing,Southwark,2_professional,562,TRUE
Ealing,Southwark,3_associate_professional,384,TRUE
Ealing,Southwark,4_administrative,243,FALSE
Ealing,Southwark,5_trade,79,FALSE
Ealing,Southwark,6_caring_leisure,53,FALSE
Ealing,Southwark,7_sales_customer,145,FALSE
Ealing,Southwark,8_machine_operatives,40,FALSE
Ealing,Southwark,9_elementary,137,FALSE
Ealing,Sutton,1_managers_senior,19,TRUE
Ealing,Sutton,2_professional,30,TRUE
Ealing,Sutton,3_associate_professional,20,TRUE
Ealing,Sutton,4_administrative,2,FALSE
Ealing,Sutton,5_trade,12,FALSE
Ealing,Sutton,6_caring_leisure,0,FALSE
Ealing,Sutton,7_sales_customer,4,FALSE
Ealing,Sutton,8_machine_operatives,0,FALSE
Ealing,Sutton,9_elementary,27,FALSE
Ealing,Tower Hamlets,1_managers_senior,346,TRUE
Ealing,Tower Hamlets,2_professional,743,TRUE
Ealing,Tower Hamlets,3_associate_professional,542,TRUE
Ealing,Tower Hamlets,4_administrative,216,FALSE
Ealing,Tower Hamlets,5_trade,87,FALSE
Ealing,Tower Hamlets,6_caring_leisure,53,FALSE
Ealing,Tower Hamlets,7_sales_customer,61,FALSE
Ealing,Tower Hamlets,8_machine_operatives,26,FALSE
Ealing,Tower Hamlets,9_elementary,80,FALSE
Ealing,Waltham Forest,1_managers_senior,31,TRUE
Ealing,Waltham Forest,2_professional,48,TRUE
Ealing,Waltham Forest,3_associate_professional,21,TRUE
Ealing,Waltham Forest,4_administrative,17,FALSE
Ealing,Waltham Forest,5_trade,12,FALSE
Ealing,Waltham Forest,6_caring_leisure,13,FALSE
Ealing,Waltham Forest,7_sales_customer,15,FALSE
Ealing,Waltham Forest,8_machine_operatives,10,FALSE
Ealing,Waltham Forest,9_elementary,30,FALSE
Ealing,Wandsworth,1_managers_senior,147,TRUE
Ealing,Wandsworth,2_professional,256,TRUE
Ealing,Wandsworth,3_associate_professional,175,TRUE
Ealing,Wandsworth,4_administrative,125,FALSE
Ealing,Wandsworth,5_trade,141,FALSE
Ealing,Wandsworth,6_caring_leisure,72,FALSE
Ealing,Wandsworth,7_sales_customer,97,FALSE
Ealing,Wandsworth,8_machine_operatives,65,FALSE
Ealing,Wandsworth,9_elementary,83,FALSE
Ealing,Westminster,1_managers_senior,2043,TRUE
Ealing,Westminster,2_professional,3456,TRUE
Ealing,Westminster,3_associate_professional,2562,TRUE
Ealing,Westminster,4_administrative,2178,FALSE
Ealing,Westminster,5_trade,690,FALSE
Ealing,Westminster,6_caring_leisure,703,FALSE
Ealing,Westminster,7_sales_customer,1129,FALSE
Ealing,Westminster,8_machine_operatives,313,FALSE
Ealing,Westminster,9_elementary,1209,FALSE
Enfield,Barking and Dagenham,1_managers_senior,45,TRUE
Enfield,Barking and Dagenham,2_professional,87,TRUE
Enfield,Barking and Dagenham,3_associate_professional,22,TRUE
Enfield,Barking and Dagenham,4_administrative,28,FALSE
Enfield,Barking and Dagenham,5_trade,40,FALSE
Enfield,Barking and Dagenham,6_caring_leisure,13,FALSE
Enfield,Barking and Dagenham,7_sales_customer,33,FALSE
Enfield,Barking and Dagenham,8_machine_operatives,30,FALSE
Enfield,Barking and Dagenham,9_elementary,46,FALSE
Enfield,Barnet,1_managers_senior,666,TRUE
Enfield,Barnet,2_professional,1538,TRUE
Enfield,Barnet,3_associate_professional,769,TRUE
Enfield,Barnet,4_administrative,989,FALSE
Enfield,Barnet,5_trade,435,FALSE
Enfield,Barnet,6_caring_leisure,859,FALSE
Enfield,Barnet,7_sales_customer,634,FALSE
Enfield,Barnet,8_machine_operatives,245,FALSE
Enfield,Barnet,9_elementary,506,FALSE
Enfield,Bexley,1_managers_senior,5,TRUE
Enfield,Bexley,2_professional,15,TRUE
Enfield,Bexley,3_associate_professional,8,TRUE
Enfield,Bexley,4_administrative,7,FALSE
Enfield,Bexley,5_trade,10,FALSE
Enfield,Bexley,6_caring_leisure,2,FALSE
Enfield,Bexley,7_sales_customer,13,FALSE
Enfield,Bexley,8_machine_operatives,1,FALSE
Enfield,Bexley,9_elementary,13,FALSE
Enfield,Brent,1_managers_senior,175,TRUE
Enfield,Brent,2_professional,232,TRUE
Enfield,Brent,3_associate_professional,149,TRUE
Enfield,Brent,4_administrative,118,FALSE
Enfield,Brent,5_trade,94,FALSE
Enfield,Brent,6_caring_leisure,57,FALSE
Enfield,Brent,7_sales_customer,111,FALSE
Enfield,Brent,8_machine_operatives,114,FALSE
Enfield,Brent,9_elementary,90,FALSE
Enfield,Bromley,1_managers_senior,18,TRUE
Enfield,Bromley,2_professional,24,TRUE
Enfield,Bromley,3_associate_professional,8,TRUE
Enfield,Bromley,4_administrative,10,FALSE
Enfield,Bromley,5_trade,5,FALSE
Enfield,Bromley,6_caring_leisure,6,FALSE
Enfield,Bromley,7_sales_customer,3,FALSE
Enfield,Bromley,8_machine_operatives,6,FALSE
Enfield,Bromley,9_elementary,11,FALSE
Enfield,Camden,1_managers_senior,721,TRUE
Enfield,Camden,2_professional,1695,TRUE
Enfield,Camden,3_associate_professional,960,TRUE
Enfield,Camden,4_administrative,1037,FALSE
Enfield,Camden,5_trade,367,FALSE
Enfield,Camden,6_caring_leisure,400,FALSE
Enfield,Camden,7_sales_customer,418,FALSE
Enfield,Camden,8_machine_operatives,241,FALSE
Enfield,Camden,9_elementary,402,FALSE
Enfield,City of London,1_managers_senior,760,TRUE
Enfield,City of London,2_professional,1296,TRUE
Enfield,City of London,3_associate_professional,1169,TRUE
Enfield,City of London,4_administrative,1076,FALSE
Enfield,City of London,5_trade,177,FALSE
Enfield,City of London,6_caring_leisure,110,FALSE
Enfield,City of London,7_sales_customer,157,FALSE
Enfield,City of London,8_machine_operatives,63,FALSE
Enfield,City of London,9_elementary,235,FALSE
Enfield,Croydon,1_managers_senior,10,TRUE
Enfield,Croydon,2_professional,32,TRUE
Enfield,Croydon,3_associate_professional,11,TRUE
Enfield,Croydon,4_administrative,14,FALSE
Enfield,Croydon,5_trade,15,FALSE
Enfield,Croydon,6_caring_leisure,8,FALSE
Enfield,Croydon,7_sales_customer,20,FALSE
Enfield,Croydon,8_machine_operatives,3,FALSE
Enfield,Croydon,9_elementary,14,FALSE
Enfield,Ealing,1_managers_senior,104,TRUE
Enfield,Ealing,2_professional,144,TRUE
Enfield,Ealing,3_associate_professional,97,TRUE
Enfield,Ealing,4_administrative,65,FALSE
Enfield,Ealing,5_trade,79,FALSE
Enfield,Ealing,6_caring_leisure,21,FALSE
Enfield,Ealing,7_sales_customer,42,FALSE
Enfield,Ealing,8_machine_operatives,60,FALSE
Enfield,Ealing,9_elementary,52,FALSE
Enfield,Enfield,1_managers_senior,2946,TRUE
Enfield,Enfield,2_professional,6281,TRUE
Enfield,Enfield,3_associate_professional,2830,TRUE
Enfield,Enfield,4_administrative,5548,FALSE
Enfield,Enfield,5_trade,2400,FALSE
Enfield,Enfield,6_caring_leisure,5737,FALSE
Enfield,Enfield,7_sales_customer,4429,FALSE
Enfield,Enfield,8_machine_operatives,2160,FALSE
Enfield,Enfield,9_elementary,4867,FALSE
Enfield,Greenwich,1_managers_senior,30,TRUE
Enfield,Greenwich,2_professional,53,TRUE
Enfield,Greenwich,3_associate_professional,49,TRUE
Enfield,Greenwich,4_administrative,33,FALSE
Enfield,Greenwich,5_trade,13,FALSE
Enfield,Greenwich,6_caring_leisure,18,FALSE
Enfield,Greenwich,7_sales_customer,27,FALSE
Enfield,Greenwich,8_machine_operatives,10,FALSE
Enfield,Greenwich,9_elementary,27,FALSE
Enfield,Hackney,1_managers_senior,440,TRUE
Enfield,Hackney,2_professional,611,TRUE
Enfield,Hackney,3_associate_professional,398,TRUE
Enfield,Hackney,4_administrative,357,FALSE
Enfield,Hackney,5_trade,297,FALSE
Enfield,Hackney,6_caring_leisure,250,FALSE
Enfield,Hackney,7_sales_customer,222,FALSE
Enfield,Hackney,8_machine_operatives,192,FALSE
Enfield,Hackney,9_elementary,206,FALSE
Enfield,Hammersmith and Fulham,1_managers_senior,119,TRUE
Enfield,Hammersmith and Fulham,2_professional,252,TRUE
Enfield,Hammersmith and Fulham,3_associate_professional,211,TRUE
Enfield,Hammersmith and Fulham,4_administrative,117,FALSE
Enfield,Hammersmith and Fulham,5_trade,68,FALSE
Enfield,Hammersmith and Fulham,6_caring_leisure,54,FALSE
Enfield,Hammersmith and Fulham,7_sales_customer,93,FALSE
Enfield,Hammersmith and Fulham,8_machine_operatives,28,FALSE
Enfield,Hammersmith and Fulham,9_elementary,70,FALSE
Enfield,Haringey,1_managers_senior,1129,TRUE
Enfield,Haringey,2_professional,1608,TRUE
Enfield,Haringey,3_associate_professional,1036,TRUE
Enfield,Haringey,4_administrative,1536,FALSE
Enfield,Haringey,5_trade,809,FALSE
Enfield,Haringey,6_caring_leisure,1089,FALSE
Enfield,Haringey,7_sales_customer,1047,FALSE
Enfield,Haringey,8_machine_operatives,836,FALSE
Enfield,Haringey,9_elementary,1042,FALSE
Enfield,Harrow,1_managers_senior,40,TRUE
Enfield,Harrow,2_professional,98,TRUE
Enfield,Harrow,3_associate_professional,55,TRUE
Enfield,Harrow,4_administrative,32,FALSE
Enfield,Harrow,5_trade,24,FALSE
Enfield,Harrow,6_caring_leisure,22,FALSE
Enfield,Harrow,7_sales_customer,20,FALSE
Enfield,Harrow,8_machine_operatives,27,FALSE
Enfield,Harrow,9_elementary,27,FALSE
Enfield,Havering,1_managers_senior,48,TRUE
Enfield,Havering,2_professional,90,TRUE
Enfield,Havering,3_associate_professional,35,TRUE
Enfield,Havering,4_administrative,28,FALSE
Enfield,Havering,5_trade,44,FALSE
Enfield,Havering,6_caring_leisure,10,FALSE
Enfield,Havering,7_sales_customer,24,FALSE
Enfield,Havering,8_machine_operatives,25,FALSE
Enfield,Havering,9_elementary,23,FALSE
Enfield,Hillingdon,1_managers_senior,53,TRUE
Enfield,Hillingdon,2_professional,83,TRUE
Enfield,Hillingdon,3_associate_professional,55,TRUE
Enfield,Hillingdon,4_administrative,24,FALSE
Enfield,Hillingdon,5_trade,28,FALSE
Enfield,Hillingdon,6_caring_leisure,25,FALSE
Enfield,Hillingdon,7_sales_customer,25,FALSE
Enfield,Hillingdon,8_machine_operatives,35,FALSE
Enfield,Hillingdon,9_elementary,50,FALSE
Enfield,Hounslow,1_managers_senior,54,TRUE
Enfield,Hounslow,2_professional,95,TRUE
Enfield,Hounslow,3_associate_professional,77,TRUE
Enfield,Hounslow,4_administrative,31,FALSE
Enfield,Hounslow,5_trade,42,FALSE
Enfield,Hounslow,6_caring_leisure,10,FALSE
Enfield,Hounslow,7_sales_customer,24,FALSE
Enfield,Hounslow,8_machine_operatives,14,FALSE
Enfield,Hounslow,9_elementary,24,FALSE
Enfield,Islington,1_managers_senior,767,TRUE
Enfield,Islington,2_professional,1235,TRUE
Enfield,Islington,3_associate_professional,855,TRUE
Enfield,Islington,4_administrative,828,FALSE
Enfield,Islington,5_trade,376,FALSE
Enfield,Islington,6_caring_leisure,436,FALSE
Enfield,Islington,7_sales_customer,419,FALSE
Enfield,Islington,8_machine_operatives,214,FALSE
Enfield,Islington,9_elementary,404,FALSE
Enfield,Kensington and Chelsea,1_managers_senior,141,TRUE
Enfield,Kensington and Chelsea,2_professional,223,TRUE
Enfield,Kensington and Chelsea,3_associate_professional,166,TRUE
Enfield,Kensington and Chelsea,4_administrative,150,FALSE
Enfield,Kensington and Chelsea,5_trade,47,FALSE
Enfield,Kensington and Chelsea,6_caring_leisure,104,FALSE
Enfield,Kensington and Chelsea,7_sales_customer,181,FALSE
Enfield,Kensington and Chelsea,8_machine_operatives,25,FALSE
Enfield,Kensington and Chelsea,9_elementary,97,FALSE
Enfield,Kingston upon Thames,1_managers_senior,5,TRUE
Enfield,Kingston upon Thames,2_professional,24,TRUE
Enfield,Kingston upon Thames,3_associate_professional,8,TRUE
Enfield,Kingston upon Thames,4_administrative,3,FALSE
Enfield,Kingston upon Thames,5_trade,12,FALSE
Enfield,Kingston upon Thames,6_caring_leisure,1,FALSE
Enfield,Kingston upon Thames,7_sales_customer,10,FALSE
Enfield,Kingston upon Thames,8_machine_operatives,4,FALSE
Enfield,Kingston upon Thames,9_elementary,13,FALSE
Enfield,Lambeth,1_managers_senior,100,TRUE
Enfield,Lambeth,2_professional,253,TRUE
Enfield,Lambeth,3_associate_professional,134,TRUE
Enfield,Lambeth,4_administrative,130,FALSE
